virospores.ml,Infection.time.h,Rep,MOI
2.00E+06,0,1,0.1
1.57E+06,0,2,0.1
2.57E+06,0,3,0.1
7.00E+06,0,1,1
1.23E+07,0,2,1
6.29E+06,0,3,1
5.14E+07,0,1,10
1.00E+06,0,2,10
6.57E+06,0,3,10
1.70E+08,2,1,0.1
1.74E+08,2,2,0.1
8.81E+08,2,3,0.1
1.86E+08,2,1,1
6.86E+09,2,2,1
3.31E+08,2,3,1
3.03E+08,2,1,10
2.50E+08,2,2,10
2.44E+08,2,3,10
7.27E+08,4,1,0.1
3.46E+08,4,2,0.1
5.41E+08,4,3,0.1
2.44E+08,4,1,1
5.69E+08,4,2,1
4.29E+08,4,3,1
1.31E+08,4,1,10
4.49E+08,4,2,10
3.87E+08,4,3,10
5.14E+09,6,1,0.1
1.14E+10,6,2,0.1
1.19E+10,6,3,0.1
4.57E+09,6,1,1
8.00E+09,6,2,1
1.16E+10,6,3,1
1.03E+10,6,1,10
1.24E+10,6,2,10
2.24E+10,6,3,10
5.46E+10,8,1,0.1
5.29E+10,8,2,0.1
4.71E+10,8,3,0.1
4.21E+10,8,1,1
3.86E+10,8,2,1
3.89E+10,8,3,1
4.51E+10,8,1,10
5.03E+10,8,2,10
4.43E+10,8,3,10
3.00E+07,10,1,0.1
6.43E+09,10,2,0.1
5.71E+09,10,3,0.1
5.29E+07,10,1,1
5.14E+09,10,2,1
8.57E+09,10,3,
1.71E+09,10,1,10
7.00E+09,10,2,10
1.33E+10,10,3,10
8.71E+09,12,1,0.1
1.09E+10,12,2,0.1
8.00E+09,12,3,0.1
1.27E+10,12,1,1
1.37E+10,12,2,1
1.44E+10,12,3,1
1.46E+10,12,1,10
1.41E+10,12,2,10
1.50E+10,12,3,10
1.29E+13,14,1,0.1
1.71E+13,14,2,0.1
8.57E+12,14,3,0.1
7.14E+12,14,1,1
1.86E+13,14,2,1
1.00E+13,14,3,1
1.43E+13,14,1,10
8.43E+13,14,2,10
9.86E+13,14,3,10
9.86E+09,16,1,0.1
1.29E+10,16,2,0.1
1.16E+10,16,3,0.1
1.17E+10,16,1,1
1.09E+10,16,2,1
8.00E+09,16,3,1
6.71E+09,16,1,10
1.19E+10,16,2,10
1.33E+10,16,3,10
1.73E+06,18,1,0.1
1.23E+06,18,2,0.1
1.73E+06,18,3,0.1
1.91E+06,18,1,1
1.51E+06,18,2,1
8.71E+05,18,3,1
1.00E+06,18,1,10
1.94E+06,18,2,10
2.10E+06,18,3,10
8.57E+03,20,1,0.1
1.71E+05,20,2,0.1
8.29E+05,20,3,0.1
1.94E+06,20,1,1
4.43E+03,20,2,1
1.03E+05,20,3,1
2.17E+04,20,1,10
2.21E+04,20,2,10
3.23E+04,20,3,10
8.36E+06,22,1,0.1
4.30E+06,22,2,0.1
,22,3,0.1
2.74E+04,22,1,1
3.04E+04,22,2,1
4.93E+04,22,3,1
3.63E+04,22,1,10
2.59E+05,22,2,10
4.11E+04,22,3,10
8.27E+05,24,1,0.1
1.01E+05,24,2,0.1
3.93E+06,24,3,0.1
2.60E+04,24,1,1
4.27E+05,24,2,1
2.46E+04,24,3,1
3.21E+04,24,1,10
1.37E+05,24,2,10
1.71E+04,24,3,10
