Well,Sample,MOI,SPO1_copy_ul,Bacillus_copy_ul
B03,A1_MOI_1pg,10,7595.511719,6316.349609
B04,B1_MOI_1pg,1,1022.439026,6497.518555
B05,C1_MOI_1pg,0.1,280.3503113,8563.94043
B06,D1_MOI_1pg,0.01,4459.01611,12440.9482
B07,E1_MOI_1pg,0.001,12.14220142,11125.79688
B08,F1_MOI_1pg,0.0001,2296.986084,5704.040039
B09,G1_MOI_1pg,0.00001,6.177876472,10060.01367
C03,A2_MOI_1pg,10,3556.805664,4632.658691
C04,B2_MOI_1pg,1,1700.657104,3471.067871
C05,C2_MOI_1pg,0.1,6281.156738,6171.708496
C06,D2_MOI_1pg,0.01,83.7588501,10478.40723
C07,E2_MOI_1pg,0.001,14.80993843,9857.069336
C08,F2_MOI_1pg,0.0001,1136.2052,11157.35938
C09,G2_MOI_1pg,0.00001,15.67523003,12537.43457
D03,A3_MOI_1pg,10,1086.310669,5819.757324
D04,B3_MOI_1pg,1,482.95401,7011.022461
D05,C3_MOI_1pg,0.1,0.05731491,0.286600649
D06,D3_MOI_1pg,0.01,4392.900391,11626.8418
D07,E3_MOI_1pg,0.001,1224.820435,9938.905273
D08,F3_MOI_1pg,0.0001,842.9379883,7892.600098
D09,G3_MOI_1pg,0.00001,3.120714903,8857.610352
E03,A1_MOI_1pg,10,7914.699707,6362.148438
E04,B1_MOI_1pg,1,943.9700317,6680.061035
E05,C1_MOI_1pg,0.1,208.0174103,7556.433105
E06,D1_MOI_1pg,0.01,5713.340332,12238.35352
E07,E1_MOI_1pg,0.001,10.49861431,11168.38867
E08,F1_MOI_1pg,0.0001,12542.55762,6574.088867
E09,G1_MOI_1pg,0.00001,8.776485443,9249.5625
F03,A2_MOI_1pg,10,1000000,6101.669922
F04,B2_MOI_1pg,1,1898.710938,4068.754883
F05,C2_MOI_1pg,0.1,7388.564453,7820.981445
F06,D2_MOI_1pg,0.01,90.04653168,1000000
F07,E2_MOI_1pg,0.001,15.04213238,8129.250488
F08,F2_MOI_1pg,0.0001,1161.314331,10480.83008
F09,G2_MOI_1pg,0.00001,16.23304176,11640.76074
G03,A3_MOI_1pg,10,1000000,5859.194824
G04,B3_MOI_1pg,1,457.4615479,7181.704102
G05,C3_MOI_1pg,0.1,1000000,0.185438693
G06,D3_MOI_1pg,0.01,4248.543945,12512.04199
G07,E3_MOI_1pg,0.001,1444.415771,1000000
G08,F3_MOI_1pg,0.0001,879.7453003,8149.864258
G09,G3_MOI_1pg,0.00001,2.615334034,8881.78418
