intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
5860000,0.000649581,0.851744186,0.000649581,0.000649581,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_020423045.1 Pseudomonas sp. MM213 strain=MM213, ASM2042304v1",4b9c2de329945bad4874e10ecc59a1ca,0.851744186,5860000,0,9015340000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.705051163,0.992387738,0.848719451,0.992387738,FALSE,,586,902120
4350000,0.000482197,0.838150289,0.000482197,0.000482197,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000381365.1 Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 strain=DSM 18765, Bact_saly_DSM_18765_V1",5fb763af1cebe766a699c1e24829fde6,0.838150289,4350000,1,9010990000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.695117674,0.991627728,0.843372701,0.991627728,FALSE,,1021,902120
5190000,0.000575311,0.636498516,0.000475546,0.000475546,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000282315.2 Pseudomonas sp. GM41(2012) strain=GM41(2012), Pseudomonas.strGM41_v2.0",325ba0d8b17c83bbdc4273a73229a823,0.770029674,4290000,2,9006700000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.700986524,0.987633002,0.844309763,0.987633002,FALSE,,1450,902120
4300000,0.000476655,0.821153846,0.000473329,0.000473329,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",558096f63fa5fd4cb989e30748bcb9d0,0.826923077,4270000,3,9002430000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.694735106,0.99099113,0.842863118,0.99099113,FALSE,,1877,902120
4000000,0.0004434,0.91954023,0.0004434,0.0004434,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000374925.1 Arthrobacter sp. 131MFCol6.1 strain=131MFCol6.1, ASM37492v1",1a5386a2711cd8c6ad6d809a45c4b7b9,0.91954023,4000000,4,8998430000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.692346664,0.99601361,0.844180137,0.99601361,FALSE,,2277,902120
3950000,0.000437857,0.812757202,0.000437857,0.000437857,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",3f390fde10616500a92020040be2caec,0.812757202,3950000,5,8994480000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.69193208,0.990176056,0.841054068,0.990176056,FALSE,,2672,902120
3940000,0.000436749,0.583333333,0.000434532,0.000434532,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_000158035.1 Bacteroides cellulosilyticus DSM 14838 strain=DSM 14838, ASM15803v1",658f5f04d15d72a53a232fde83e1ca2e,0.586309524,3920000,6,8990560000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.691848563,0.974896309,0.833372436,0.974896309,FALSE,,3064,902120
3910000,0.000433423,0.676573427,0.000428989,0.000428989,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_900106755.1 Bacteroides faecis MAJ27 strain=MAJ27, IMG-taxon 2693429916 annotated assembly",c9af7082e5d9322dc819a2846e2bfeab,0.683566434,3870000,7,8986690000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.691596798,0.982047322,0.83682206,0.982047322,FALSE,,3451,902120
3790000,0.000420121,0.590625,0.000419013,0.000419013,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_016598535.1 Rhodococcus sp. P-2 strain=P-2, ASM1659853v1",b199f9297e16aa7f9600fa0f9c9ec3d2,0.5921875,3780000,8,8982910000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.690570987,0.975359516,0.832965252,0.975359516,FALSE,,3829,902120
3590000,0.000397951,0.702380952,0.000392409,0.000392409,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_024652905.1 Pseudomonas psychrotolerans strain=YY7, ASM2465290v1",c0457c5d547409d93cc80074d40bbafd,0.712301587,3540000,9,8979370000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.688790501,0.983974845,0.836382673,0.983974845,FALSE,,4183,902120
3410000,0.000377998,0.242337847,0.00037689,0.00037689,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_019396345.1 Nonomuraea guangzhouensis strain=CGMCC 4.7101, ASM1939634v1",d4f81f16988192c41f19429414e9e9be,0.243050606,3400000,10,8975970000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.68710536,0.934861904,0.810983632,0.934861904,FALSE,,4523,902120
3330000,0.00036913,0.26618123,0.000364696,0.000364696,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCA_001550305.1 Streptomyces diastatochromogenes strain=ATCC 12309, ASM155030v1",5b946b48b9014fcd5b497952f2485fe4,0.269417476,3290000,11,8972680000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.686329043,0.939458104,0.812893574,0.939458104,FALSE,,4852,902120
3550000,0.000393517,0.491044776,0.000364696,0.000364696,,,,/N/project/Lennon_Sequences/envs/dbs/gtdb-rs214-reps.k21.zip,"GCF_021282585.1 Pseudomonas alloputida strain=NMI2441_06, ASM2128258v1",f024cb96a50007af69f858af4e0ee0fa,0.529850746,3290000,12,8969390000,/N/project/Lennon_Sequences/joyobri/sourmash_MAGs/0_1485453_R2_001.fastq,sample_name,236c046d,9021200000,21,DNA,10000,902120,FALSE,0.688423094,0.970207114,0.829315104,0.970207114,FALSE,,5181,902120
